00F6C 001948CF
00F70 003E51AD
00F74 00291B85
00F78 0017FCB9
00F7C 001083F0
00F80 0047BFB4
00F84 002B485A
00F88 00197880
00F8C 0023C0C3
00F90 0030840C
00F94 00032DC1
00F98 003C2935
00F9C 003C1E66
00FA0 000AA524
00FA4 003598E9
00FA8 0036CC5B
00FAC 00417E79
00FB0 000305EC
00FB4 000FA79B
00FB8 003CA0BD
00FBC 0022F40A
00FC0 000C3CA9
00FC4 002E684C
00FC8 0028E0C2
00FCC 001E2DF9
00FD0 0029FE0C
00FD4 0022A56D
00FD8 0038DFB9
00FDC 00238739
00FE0 000C4FE4
00FE4 00437EAC
00FE8 00288576
00FEC 000038A9
00FF0 002B0ABA
00FF4 001BCA3F
00FF8 002CE3CE
00FFC 000EB064
01000 00033B99
01004 004034E1
01008 0041D80B
0100C 0036EB30
01010 000FA520
01014 0022307F
01018 0004DDDB
0101C 00046D47
01020 00452874
01024 00172EEF
01028 0007E420
0102C 00398DFD
01030 001FD485
01034 001249A8
01038 0004F58D
0103C 0040FF15
01040 0003DD3C
01044 00288714
01048 00420E83
0104C 0032CFDD
01050 000592C2
01054 00436F7F
01058 0036215D
0105C 004AD983
01060 0046EC99
01064 000F34A9
01068 000B662A
0106C 003829E8
01070 0041E073
01074 0003A5A6
01078 0005336E
0107C 000B734B
01080 001B14B8
01084 00433FD5
01088 0012936A
0108C 000ADF2A
01090 0022CD93
01094 0017183C
01098 0049A040
0109C 000F3C8B
010A0 003F8EBF
010A4 002921F9
010A8 00142BC1
010AC 00293443
010B0 001C95BA
010B4 000D8CF3
010B8 0045DEFE
010BC 00259A6F
010C0 00002D1E
010C4 0026082E
010C8 003E8468
010CC 000E0406
010D0 000183DA
010D4 0009D1FE
010D8 004BAAE2
010DC 0022ACB6
010E0 002799E2
010E4 002CBC1D
010E8 00182A51
010EC 0027D475
010F0 0017F55C
010F4 00344E9A
010F8 004A8EBA
010FC 003028AC
01100 002D88CE
01104 00175465
01108 0030C4D9
0110C 0039EBA5
01110 0041CD4B
01114 002FCAC9
01118 00252698
0111C 0033BFF9
01120 004AE1DD
01124 00052D5B
01128 00164626
0112C 002D0C97
01130 00337EF9
01134 000742FD
01138 001DDEDB
0113C 0010EE0D
01140 0046546F
01144 0014E55C
01148 000EBB60
0114C 002D2049
01150 00175F0F
01154 00127689
01158 000A645F
0115C 00162C87
01160 00422013
01164 001672B4
01168 0011504F
0116C 0040DFA8
01170 0006A97B
01174 00476BB0
01178 0046F3A6
0117C 0004705E
01180 002400B9
01184 00411E74
01188 003BF7BD
0118C 003F0CE8
01190 0000414B
01194 003A62E2
01198 0024C138
0119C 003068B3
011A0 000AF468
011A4 003C188C
011A8 00022434
011AC 00285647
011B0 001E0573
011B4 00327275
011B8 0007BA83
011BC 000D08AB
011C0 0048F682
011C4 00499200
011C8 0037A4D7
011CC 003A3480
011D0 000BA701
011D4 003A4DF2
011D8 0011F360
011DC 00413866
011E0 000C6847
011E4 00304E9D
011E8 004B6E3E
011EC 0019367D
011F0 003B89DE
011F4 001BF903
011F8 001ECE9F
011FC 003357C5
01200 003B4677
01204 00016878
01208 0033A7F9
0120C 003C0C69
01210 001E5EA0
01214 0026CE2A
01218 0012F554
0121C 000CA1CB
01220 00148516
01224 000C979C
01228 0019A943
0122C 001F2618
01230 003BA1AB
01234 003F8A99
01238 001009E2
0123C 0031EB69
01240 004643DF
01244 00488098
01248 003B00D7
0124C 0043338F
01250 00439DB3
01254 0027F019
01258 002656B7
0125C 000BF02A
01260 0029626A
01264 003BA161
01268 001BC642
0126C 003F31F5
01270 003C5C06
01274 002FD83C
01278 0000164A
0127C 000B3324
01280 00109FDA
01284 004606E1
01288 0010227C
0128C 0027AD10
01290 00447F33
01294 000B5E04
01298 00018966
0129C 0003F541
012A0 0021469B
012A4 000E7024
012A8 0009E8A0
012AC 0014F1A6
012B0 00080C28
012B4 00030C36
012B8 00430029
012BC 00315A0E
012C0 0019E712
012C4 0022E119
012C8 001A4A75
012CC 003033AE
012D0 0021296A
012D4 0025ACBB
012D8 00498F5A
012DC 002CBA96
012E0 0025859D
012E4 00035487
012E8 001C8AEC
012EC 0030D60D
012F0 002926F1
012F4 0009E4B4
012F8 0011EFDD
012FC 00188B98
01300 00487AEA
01304 003E1E0B
01308 0019BFC7
0130C 001828BA
01310 0025BEFB
01314 00457A14
01318 004842E3
0131C 003FFADC
01320 0012CEEA
01324 0018ACE3
01328 0043752B
0132C 001538B5
01330 0044AD32
01334 0006043E
01338 000E8E0D
0133C 001D217D
01340 00287E4A
01344 000FEA56
01348 001C0A27
0134C 003B1C3A
01350 002F4D34
01354 0032EDAA
01358 001DCA78
0135C 003022C0
01360 00470B75
01364 004822B6
01368 0047838D
0136C 003133C8
01370 0007B04D
01374 004A56C9
01378 0045FB36
0137C 003E1D2A
01380 0010DE35
01384 000CC555
01388 003B3418
0138C 0003B35F
01390 003DD09D
01394 002CB762
01398 000077A2
0139C 0005E476
013A0 002F7115
013A4 00230835
013A8 000A8E40
013AC 00382A47
013B0 003198B3
013B4 001F3726
013B8 004A9C65
013BC 001E7853
013C0 001B21C9
013C4 0036D5F9
013C8 003CECC2
013CC 003EFAAF
013D0 001FAC18
013D4 0039FE96
013D8 0007B3D0
013DC 002881CD
013E0 00388852
013E4 00427415
013E8 003652FB
013EC 003AAFEB
013F0 00195F4E
013F4 002BC420
013F8 0007D7EC
013FC 003C025F
01400 001E8690
01404 000D4B83
01408 0015D518
0140C 0045B602
01410 003BE6BB
01414 00412365
01418 0011AD43
0141C 000A5C2F
01420 004092BC
01424 002C1E6C
01428 000D7A07
0142C 003392EC
01430 0035FB10
01434 0042631E
01438 00289444
0143C 0035B054
01440 0027F224
01444 0013A2EA
01448 000426AB
0144C 001494E4
01450 003F78A6
01454 0022AAC8
01458 00495E3E
0145C 0012BB65
01460 003CF6BF
01464 00147D4B
01468 0026161D
0146C 00331E23
01470 0008952D
01474 001762AC
01478 0032C762
0147C 003FA507
01480 002E3934
01484 004492D7
01488 001F643B
0148C 0000F1A6
01490 0036F9CB
01494 00443E8F
01498 0005339B
0149C 0020E177
014A0 00016F54
014A4 00353A3F
014A8 00451546
014AC 003CA30A
014B0 0037959A
014B4 0014300C
014B8 0032C9CF
014BC 001700EC
014C0 00020CDF
014C4 00286C51
014C8 0020E701
014CC 0026489C
014D0 00267424
014D4 0021EAFB
014D8 0029813B
014DC 00497A11
014E0 00373938
014E4 0008F38A
014E8 001692F1
014EC 000B8BBB
014F0 00220FE4
014F4 00370E9F
014F8 00289101
014FC 002D35C9
01500 0024EDA2
01504 00196F09
01508 001E2C4D
0150C 000A64FC
01510 00086FC1
01514 0003D3DB
01518 0028B663
0151C 004B56F8
01520 002E9342
01524 0048B1CC
01528 00190687
0152C 001117AC
01530 0006AB91
01534 0023ACC9
01538 002743E3
0153C 00322F37
01540 00200438
01544 0027D089
01548 001DC02E
0154C 0046E695
01550 00125D71
01554 001059E9
01558 00107B64
0155C 001C05CC
01560 00119126
01564 00345195
01568 00445E2B
0156C 00352D97
01570 00380176
01574 00299A77
01578 0018799A
0157C 00393696
01580 0012EFDA
01584 002FD9B6
01588 0016B645
0158C 002B174D
01590 0003DB07
01594 000CCD4D
01598 003EE1B6
0159C 002B6840
015A0 00344981
015A4 001D3594
015A8 002D670C
015AC 001CDE4F
015B0 000C7471
015B4 00016353
015B8 0014E14C
015BC 001807AB
015C0 00402576
015C4 003FF19B
015C8 002B2C2D
015CC 002F24AA
015D0 002E55E1
015D4 001B8FC9
015D8 0033842C
015DC 00182AEC
015E0 0018995D
015E4 002C77B6
015E8 004243A4
015EC 000F7EAD
015F0 002BB763
015F4 00281D42
015F8 002ED3ED
015FC 0021B251
01600 001EF290
01604 001F445C
01608 001506E1
0160C 00231E25
01610 0009A4E5
01614 0036F0E2
01618 00457EA9
0161C 000B1AE8
